title,year,genres,director,cast,keywords,overview,tagline,vote_average,vote_count,runtime,popularity,id,genres_token,director_token,original_language
Sweet November,2001,Drama Romance,Pat O'Connor,Keanu Reeves Charlize Theron Jason Isaacs Greg Germann Lauren Graham,workaholic dogsitter,"Nelson is a man devoted to his advertising career in San Francisco. One day, while taking a driving test at the DMV, he meets Sara. She is very different from the other women in his life. Nelson causes her to miss out on taking the test and later that day she tracks him down. One thing leads to another and Nelson ends up living with her through a November that will change his life forever.",She Just Needed A Month To Change His Life For Ever.,6.4,278,119.0,19.372805,1921,Drama Romance,PatO'Connor,en
The Reaping,2007,Horror,Stephen Hopkins,Hilary Swank David Morrissey Idris Elba AnnaSophia Robb Stephen Rea,river miracle bible louisiana frog,"Katherine Morrissey, a former Christian missionary, lost her faith after the tragic deaths of her family. Now she applies her expertise to debunking religious phenomena. When a series of biblical plagues overrun a small town, Katherine arrives to prove that a supernatural force is not behind the occurrences, but soon finds that science cannot explain what is happening. Instead, she must regain her faith to combat the evil that waits in a Louisiana swamp.",What Hath God Wrought?,5.4,205,99.0,13.445697,1683,Horror,StephenHopkins,en
Mean Streets,1973,Drama Crime,Martin Scorsese,Harvey Keitel Robert De Niro David Proval Amy Robinson Richard Romanus,epilepsy protection money secret love money redemption,"A small-time hood must choose from among love, friendship and the chance to rise within the mob.",You don't make up for your sins in church. You do it in the streets...,7.2,345,110.0,17.002095999999998,203,Drama Crime,MartinScorsese,en
Renaissance Man,1994,Comedy War,Penny Marshall,Danny DeVito Mark Wahlberg Gregory Hines James Remar Ed Begley Jr.,vietnam veteran commercial advertising expert kaserne stau,"Danny DeVito plays an advertising man who is slowly sliding downhill. When he is fired from his job in Detroit, he signs up for unemployment. One day they find him a job; Teaching thinking skills to Army recruits. He arrives on base to find that there is no structure set up for the class.","One Man's Mission To Teach The Few, The Proud... The Impossible!",5.9,81,128.0,4.516953,11858,Comedy War,PennyMarshall,en
Colombiana,2011,Action Thriller Crime Drama,Olivier Megaton,Zoe Saldana Cliff Curtis Callum Blue Michael Vartan Lennie James,street gang uncle female assassin witness to murder,"Zoe Saldana plays a young woman who, after witnessing her parents’ murder as a child in Bogota, grows up to be a stone-cold assassin. She works for her uncle as a hitman by day, but her personal time is spent engaging in vigilante murders that she hopes will lead her to her ultimate target: the mobster responsible for her parents' death.",Revenge is beautiful.,6.5,824,108.0,33.785969,62835,Action Thriller Crime Drama,OlivierMegaton,en
Quest for Camelot,1998,Fantasy Animation Drama Romance Family,Frederik Du Chau,Jessalyn Gilsig Cary Elwes Gary Oldman Don Rickles Jane Seymour,,"During the times of King Arthur, Kayley is a brave girl who dreams of following her late father as a Knight of the Round Table. The evil Ruber wants to invade Camelot and take the throne of King Arthur, and Kayley has to stop him.",An evil knight gives nobility a bad name.,6.9,190,86.0,16.059442999999998,18937,Fantasy Animation Drama Romance Family,FrederikDuChau,en
City By The Sea,2002,Crime Drama Mystery,Michael Caton-Jones,Robert De Niro James Franco Frances McDormand Eliza Dushku George Dzundza,murder homicide detective,A man struggling to come to terms with the sins of his father makes the terrible discovery that his own son has fallen into a life of crime in a drama based on a true story. Vincent LaMarca is a dedicated and well-respected New York City police detective who has gone to great lengths to distance himself from his past.,When you're searching for a killer... the last suspect you want to see is your son.,5.7,92,108.0,3.4769660000000004,13536,Crime Drama Mystery,MichaelCaton-Jones,en
At First Sight,1999,Drama Romance,Irwin Winkler,Val Kilmer Mira Sorvino Kelly McGillis Steven Weber Bruce Davison,blind massage therapist,A blind man has an operation to regain his sight at the urging of his girlfriend and must deal with the changes to his life.,Science gave him sight. She gave him vision.,5.9,48,128.0,5.778724,15556,Drama Romance,IrwinWinkler,en
Torque,2004,Action,Joseph Kahn,Martin Henderson Ice Cube Monet Mazur Adam Scott Matt Schulze,ex-girlfriend drug dealer gang motorcyclist,"Biker Cary Ford is framed by an old rival and biker gang leader for the murder of another gang member who happens to be the brother of Trey, leader of the most feared biker gang in the country. Ford is now on the run trying to clear his name from the murder with Trey and his gang looking for his blood.",Circuit of Fire,4.7,119,84.0,7.360792999999997,10718,Action,JosephKahn,en
City Hall,1996,Drama Thriller,Harold Becker,Al Pacino John Cusack Bridget Fonda Danny Aiello Martin Landau,corruption undercover war on drugs mayor drug dealer,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",It started with a shootout on a rainswept street and ended in a scandal that shattered New York.,6.0,67,111.0,3.621837,11062,Drama Thriller,HaroldBecker,en
Showgirls,1995,Drama,Paul Verhoeven,Elizabeth Berkley Kyle MacLachlan Gina Gershon Glenn Plummer Robert Davi,dancing female nudity go-go dancer spanner seduction,A young drifter named Nomi arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become a top showgirl.,Beyond your wildest dreams. Beyond your wildest fantasies.,4.9,256,128.0,14.513305,10802,Drama,PaulVerhoeven,en
Marie Antoinette,2006,Drama History,Sofia Coppola,Kirsten Dunst Jason Schwartzman Judy Davis Rip Torn Rose Byrne,shoe voice over rite theatre audience bride and groom,"The retelling of France's iconic but ill-fated queen, Marie Antoinette. From her betrothal and marriage to Louis XVI at 15 to her reign as queen at 19 and ultimately the fall of Versailles.",Rumor. Scandal. Fame. Revolution.,6.5,642,123.0,22.364549,1887,Drama History,SofiaCoppola,en
Kiss of Death,1995,Action Crime Drama Thriller,Barbet Schroeder,David Caruso Samuel L. Jackson Nicolas Cage Helen Hunt Kathryn Erbe,hoodlum,"Jimmy Kilmartin is an ex-con living in Astoria in the New York City borough of Queens, trying to stay clean and raising a family with his wife Bev. But when his cousin Ronnie causes him to take a fall for driving an illegal transport of stolen cars, a police officer named Calvin Hart is injured and Jimmy lands back in prison. In exchange for an early release, he is asked to help bring down a local crime boss named Little Junior Brown.  Jimmy remarries and attempts to renew a relationship with his child. But he is sent undercover by Detective Hart to work with Junior and infiltrate his operations. As soon as Little Junior kills an undercover federal agent with Jimmy watching, the unscrupulous district attorney and the feds further complicate his life. He must take down Junior or face the consequences.",,5.7,81,101.0,6.908939999999999,6071,Action Crime Drama Thriller,BarbetSchroeder,en
Get Carter,2000,Action Drama Thriller Crime,Stephen T. Kay,Sylvester Stallone Miranda Richardson Rachael Leigh Cook Mickey Rourke Johnny Strong,ritual pornographic video car crash dvd,"Remake of the Michael Caine classic. Jack Carter, a mob enforcer living in Las Vegas, travels back to his hometown of Seattle for his brother's funeral. During this visit, Carter realizes that the death of his brother was not accidental, but a murder. With this knowledge, Carter sets out to kill all those responsible.",The Truth Hurts,4.8,145,102.0,4.494788,10461,Action Drama Thriller Crime,StephenT.Kay,en
The Impossible,2012,Thriller Drama,Juan Antonio Bayona,Naomi Watts Ewan McGregor Tom Holland Samuel Joslin Oaklee Pendergast,thailand tsunami family vacation tidal wave catastrophe,"In December 2004, close-knit family Maria, Henry and their three sons begin their winter vacation in Thailand. But the day after Christmas, the idyllic holiday turns into an incomprehensible nightmare when a terrifying roar rises from the depths of the sea, followed by a wall of black water that devours everything in its path. Though Maria and her family face their darkest hour, unexpected displays of kindness and courage ameliorate their terror.",Nothing is more powerful than the human spirit.,7.0,2025,113.0,47.559928,80278,Thriller Drama,JuanAntonioBayona,en
Ishtar,1987,Action Adventure Comedy,Elaine May,Warren Beatty Dustin Hoffman Isabelle Adjani Charles Grodin Jack Weston,wilderness sahara beautiful woman singer escape,"Two terrible lounge singers get booked to play a gig in a Moroccan hotel but somehow become pawns in an international power play between the CIA, the Emir of Ishtar, and the rebels trying to overthrow his regime",,4.2,28,107.0,2.410546,12704,Action Adventure Comedy,ElaineMay,en
Fantastic Mr. Fox,2009,Adventure Animation Comedy Family,Wes Anderson,George Clooney Meryl Streep Jason Schwartzman Bill Murray Wallace Wolodarsky,fox tree peasant revenge cider,"The Fantastic Mr. Fox bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family.",Dig the life fantastic!,7.5,1176,87.0,41.258956,10315,Adventure Animation Comedy Family,WesAnderson,en
Life or Something Like It,2002,Comedy Drama Romance,Stephen Herek,Angelina Jolie Edward Burns Tony Shalhoub Christian Kane Melissa Errico,,"A reporter Lanie Kerrigan interviews a psychic homeless man for a fluff piece about a football game's score. Instead he tells her that her life has no meaning and is going to end in just a few days, which sparks her to action, trying to change the pattern of her life...",,5.7,124,103.0,8.980846000000003,16643,Comedy Drama Romance,StephenHerek,en
Memoirs of an Invisible Man,1992,Comedy Fantasy Science Fiction,John Carpenter,Chevy Chase Daryl Hannah Sam Neill Michael McKean Stephen Tobolowsky,invisible man,"After a freak accident, an invisible yuppie runs for his life from a treacherous CIA official while trying to cope with his new life.",An adventure like you've never seen.,5.7,125,99.0,7.222985,2687,Comedy Fantasy ScienceFiction,JohnCarpenter,en
Amélie,2001,Comedy Romance,Jean-Pierre Jeunet,Audrey Tautou Mathieu Kassovitz Rufus Jamel Debbouze Claire Maurier,paris love triangle ghost train sex-shop shyness,"At a tiny Parisian café, the adorable yet painfully shy Amélie (Audrey Tautou) accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?",One person can change your life forever.,7.8,3310,122.0,73.720244,194,Comedy Romance,Jean-PierreJeunet,fr
New York Minute,2004,Comedy,Dennie Gordon,Ashley Olsen Mary-Kate Olsen Eugene Levy Andy Richter Riley Smith,twin sister music video geek vacation university,"Top student Jane Ryan heads to Manhattan for a college-scholarship competition. Her rebellious twin Roxy Ryan goes along to crash a video shoot. But anything can happen - and does - in a romp involving a pursuing truant officer, a smuggler, hunkalicious guys and the girls' realization that when the chips are down, a sister can be the best friend of all.",,5.5,185,91.0,10.0403,11025,Comedy,DennieGordon,en
Alfie,2004,Comedy,Charles Shyer,Jude Law Marisa Tomei Omar Epps Jane Krakowski Ren\u00e9e Taylor,new york cheating flirt lover older woman seduces younger guy,"In Manhattan, the British limousine driver Alfie is surrounded by beautiful women, having one night stands with all of them and without any sort of commitment. His best friends are his colleague Marlon and his girl-friend Lonette. Alfie has a brief affair with Lonette, and the consequences of his act forces Alfie to reflect over his lifestyle.",Meet a man who never met a woman he didn't love.,5.6,248,103.0,15.219263,8849,Comedy,CharlesShyer,en
Big Miracle,2012,Adventure Drama Romance,Ken Kwapis,Drew Barrymore John Krasinski Kristen Bell Vinessa Shaw Dermot Mulroney,whale alaska aftercreditsstinger duringcreditsstinger greenpeace,"Based on an inspiring true story, a small-town news reporter (Krasinski) and a Greenpeace volunteer (Barrymore) enlist the help of rival superpowers to save three majestic gray whales trapped under the ice of the Arctic Circle. ‘Big Miracle’ is adapted from the nonfiction book ‘Freeing the Whales: How the Media Created the World’s Greatest Non-Event’ by Tom Rose.",A family of whales trapped beneath the ice. One unforgettable rescue.,6.6,152,107.0,8.303696,78698,Adventure Drama Romance,KenKwapis,en
The Deep End of the Ocean,1999,Drama Mystery,Ulu Grosbard,Michelle Pfeiffer Treat Williams Whoopi Goldberg Jonathan Jackson Cory Buck,kidnapping boy reunion,"Michelle Pfeiffer is ferocious in the role of a desperate mother whose 3-year-old son disappears during her high school reunion. Nine years later, by chance, he turns up in the town in which the family has just relocated. Based on Jacquelyn Mitchard's best-selling novel (an Oprah book club selection), the movie effectively presents the troubling dynamics that exist between family members who've suffered such an unsettling loss.",The search for her son was over. The search for her family was just beginning.,5.9,54,106.0,4.746085,30943,Drama Mystery,UluGrosbard,en
FearDotCom,2002,Horror Thriller,William Malone,Stephen Dorff Natascha McElhone Stephen Rea Udo Kier Amelia Curtis,race against time psychopath homepage cop doctor,"With four corpses on his hands, New York City gumshoe Mike Reilly (Stephen Dorff) teams with Department of Health worker Terry Huston (Natascha McElhone) to track down a homicidal sadist who telecasts shocking acts of torture on the Internet. But they have their work cut out: It seems the victims' only link is that they all went toes up 48 hours after logging on a site known as feardotcom.com. Stephen Rea also stars in this gruesome thriller.",The last site you'll ever see.,3.2,105,101.0,6.756886,9544,Horror Thriller,WilliamMalone,en
Cirque du Freak: The Vampire's Assistant,2009,Adventure Fantasy Action Thriller,Paul Weitz,John C. Reilly Josh Hutcherson Chris Massoglia Patrick Fugit Salma Hayek,vampire spider wolfman stew best friend,"Darren Shan is a regular teenage kid. He and his friend Steve find out about a Freak Show coming to town and work hard at trying to find tickets. They do, and together they go to ""Cirque du Freak"" where they see many strange acts including a wolf-man and a bearded lady",Meet Darren. He's sixteen going on immortal.,5.5,348,109.0,16.424807,24418,Adventure Fantasy Action Thriller,PaulWeitz,en
Duplex,2003,Action Comedy Thriller,Danny DeVito,Ben Stiller Drew Barrymore Eileen Essell Amber Valletta Justin Theroux,,"When a young couple buys their dream home, they have no idea what the sweet little old lady upstairs is going to put them through!",,5.9,482,89.0,15.590001,7288,Action Comedy Thriller,DannyDeVito,en
Soul Men,2008,Comedy Music,Malcolm D. Lee,Samuel L. Jackson Bernie Mac Sharon Leal Adam Herschman Sean Hayes,duringcreditsstinger,"Two former backup soul singers, Louis and Floyd, have not spoken to each other in 20 years, and reluctantly agree to travel across the country together to a reunion concert to honor their recently-deceased lead singer. Cleo, a beautiful young woman who is believed to be Floyd's daughter, accompanies them as a new singer.",,6.3,47,103.0,5.483671,14655,Comedy Music,MalcolmD.Lee,en
Raise the Titanic,1980,Action Drama Thriller,Jerry Jameson,M. Emmet Walsh Richard Jordan David Selby Anne Archer Alec Guinness,,"To obtain a supply of a rare mineral, a ship raising operation is conducted for the only known source, the Titanic.",They've found the Titanic. There's just one thing left to do...,5.2,21,115.0,1.630541,24575,Action Drama Thriller,JerryJameson,en
Universal Soldier: The Return,1999,Action Science Fiction,Mic Rodgers,Jean-Claude Van Damme Kiana Tom Bill Goldberg Michael Jai White Heidi Schanz,super computer computer program destiny timebomb,"Luc Deveraux, the heroic former Universal Soldier, is about to be thrown into action once again. When Seth (Michael Jai White), the supercomputer controlled ultra-warrior, decides to take revenge and destroy its creators, only Luc can stop it. All hell breaks loose as Luc battles Seth and a deadly team of perfect soldiers in a struggle that pits man against machine and good against evil.",Prepare to become obsolete,4.2,135,82.0,14.566664,10366,Action ScienceFiction,MicRodgers,en
Pandorum,2009,Action Horror Mystery Science Fiction Thriller,Christian Alvart,Ben Foster Dennis Quaid Cam Gigandet Antje Traue Cung Le,dystopia spaceship survival mission,"Two crew members wake up on an abandoned spacecraft with no idea who they are, how long they've been asleep, or what their mission is. The two soon discover they're actually not alone – and the reality of their situation is more horrifying than they could have imagined.",Don't fear the end of the world. Fear what happens next.,6.5,774,108.0,28.353517,19898,Action Horror Mystery ScienceFiction Thriller,ChristianAlvart,en
Impostor,2001,Action Science Fiction Thriller,Gary Fleder,Gary Sinise Madeleine Stowe Mekhi Phifer Vincent D'Onofrio Tony Shalhoub,android alien,"Gary Sinise plays Spencer Olham, a top-secret government weapons designer who is arrested by a clandestine government organization on suspicion of being a clone created by the hostile alien race wanting to take over Earth.","In the Future, not everyone is who they seem to be.",6.1,135,102.0,9.579975,4965,Action ScienceFiction Thriller,GaryFleder,en
Extreme Ops,2002,Action Adventure Drama Thriller,Christian Duguay,Devon Sawa Bridgette Wilson Rufus Sewell Rupert Graves Heino Ferch,ski,"While filming an advertisement, some extreme sports enthusiasts unwittingly stop a group of terrorists.",Fear is a trigger,5.0,28,93.0,2.911819,15074,Action Adventure Drama Thriller,ChristianDuguay,en
Just Visiting,2001,Comedy Fantasy Science Fiction,Jean-Marie Poir\u00e9,Jean Reno Christina Applegate Christian Clavier Matt Ross Tara Reid,time travel remake alternate history dragon remake of french film,"A knight and his valet are plagued by a witch, and to repair the damage they make use of the services of a wizard. However, something goes wrong and they are transported from the 12th century to the year 2000. There the knight meets some of his family and slowly learns what this new century is like. However, he still needs to get back to the 12th century to deal with the witch, so he starts looking for a wizard.","They're not just from another time, they're from France.",4.8,171,88.0,10.844882,56715,Comedy Fantasy ScienceFiction,Jean-MariePoir\u00e9,en
Sunshine,2007,Science Fiction Thriller,Danny Boyle,Cillian Murphy Rose Byrne Chris Evans Michelle Yeoh Cliff Curtis,saving the world bomb sun space marine sunlight,"Fifty years into the future, the sun is dying, and Earth is threatened by arctic temperatures. A team of astronauts is sent to revive the Sun — but the mission fails. Seven years later, a new team is sent to finish the mission as mankind’s last hope.","If the sun dies, so do we.",7.0,1182,107.0,51.502884,1272,ScienceFiction Thriller,DannyBoyle,en
A Thousand Words,2012,Drama Comedy,Brian Robbins,Eddie Murphy Allison Janney Cliff Curtis Clark Duke Kerry Washington,liar literary agent,"Jack McCall is a fast-talking literary agent, who can close any deal, any time, any way. He has set his sights on New Age guru Dr. Sinja (Cliff Curtis) for his own selfish purposes. But Dr. Sinja is on to him, and Jack’s life comes unglued after a magical Bodhi tree mysteriously appears in his backyard. With every word Jack speaks, a leaf falls from the tree and he realizes that when the last leaf falls, both he and the tree are toast. Words have never failed Jack McCall, but now he’s got to stop talking and conjure up some outrageous ways to communicate or he’s a goner.",He only has 1000 words left to discover what matters the most.,6.0,373,91.0,13.119132999999998,72358,Drama Comedy,BrianRobbins,en
Delgo,2008,Adventure Fantasy Animation Comedy Science Fiction,Marc F. Adler,Freddie Prinze Jr. Jennifer Love Hewitt Val Kilmer Anne Bancroft Chris Kattan,,"In a divided land, it takes a rebellious boy and his clandestine love for a Princess of an opposing race to stop a war orchestrated by a power hungry villain.",,5.4,15,94.0,4.238482,20542,Adventure Fantasy Animation Comedy ScienceFiction,MarcF.Adler,en
The Gunman,2015,Action Drama Crime,Pierre Morel,Sean Penn Jasmine Trinca Javier Bardem Ray Winstone Mark Rylance,assassin hitman,"Eight years after fleeing the Congo following his assassination of that country's minister of mining, former assassin Jim Terrier is back, suffering from PTSD and digging wells to atone for his violent past. After an attempt is made on his life, Terrier flies to London to find out who wants him dead -- and why. Terrier's search leads him to a reunion with Annie, a woman he once loved, who is now married to an oily businessman with dealings in Africa.",Armed With the Truth.,5.5,392,115.0,26.935458,266396,Action Drama Crime,PierreMorel,en
Stormbreaker,2006,Adventure Action Family,Geoffrey Sax,Alex Pettyfer Sarah Bolger Ewan McGregor Robbie Coltrane Stephen Fry,england secret intelligence service child hero wretch teen spy,"Alex Rider thinks he is a normal school boy, until his uncle is killed. He discovers that his uncle was actually spy on a mission, when he was killed. Alex is recruited by Alan Blunt to continue the mission. He is sent to Cornwall to investigate a new computer system, which Darrius Sayle has created. He plans to give the new computer systems to every school in the country, but Mr. Blunt has other ideas and Alex must find out what it is.",Rule the school. Save the world.,5.1,213,93.0,16.282962,9978,Adventure Action Family,GeoffreySax,en
Disturbia,2007,Thriller Drama Mystery,D.J. Caruso,Shia LaBeouf Sarah Roemer Carrie-Anne Moss David Morse Aaron Yoo,kidnapping young people,"Kale is a 17-year-old placed under house arrest after punching his teacher. He is confined to his house, and decides to use his free time spying on his neighbors. Things start to get weird when guests enter the Turner's house and don't come back out. Kale and his friends, Ronnie and Ashley, start to grow more and more interested in what is actually happening within the house of Robert Turner.","The quieter the street, the darker the secrets....",6.6,1006,105.0,31.690456,8271,Thriller Drama Mystery,D.J.Caruso,en
Hackers,1995,Action Crime Thriller Drama,Iain Softley,Jonny Lee Miller Angelina Jolie Jesse Bradford Matthew Lillard Renoly Santiago,female nudity hacker nudity computer virus virtual reality,"Along with his new friends, a teenager who was arrested by the US Secret Service and banned from using a computer for writing a computer virus discovers a plot by a nefarious hacker, but they must use their computer skills to find the evidence while being pursued by the Secret Service and the evil computer genius behind the virus.","There is no right or wrong, only fun and boring",6.2,398,107.0,17.842246,10428,Action Crime Thriller Drama,IainSoftley,en
The Hunting Party,2007,Action Adventure Thriller Drama,Richard Shepard,Richard Gere Terrence Howard James Brolin Diane Kruger Jesse Eisenberg,civil war spy hotel journalist journalism,"An emerging journalist (Jesse Eisenberg), an experienced cameraman (Terrence Howard), and a discredited reporter (Richard Gere) find their bold plan to capture Bosnia's top war criminal quickly spiraling out of control when a UN representative mistakes them for a CIA hit squad in a light-hearted thriller inspired by Scott Anderson's popular Esquire article. The Weinstein Company provides stateside",How can they find the world's most wanted war criminal when the C.I.A. can't? [by actually looking],6.6,96,101.0,8.048305000000001,5353,Action Adventure Thriller Drama,RichardShepard,en
The Hudsucker Proxy,1994,Comedy Drama,Joel Coen,Tim Robbins Jennifer Jason Leigh Paul Newman Charles Durning John Mahoney,suicide new york corruption journalist inventor,A naive business graduate is installed as president of a manufacturing company as part of a stock scam.,They took him for a fall guy... but he threw them for a hoop.,7.1,275,111.0,14.188982,11934,Comedy Drama,JoelCoen,en
The Warlords,2007,Action Drama History,Peter Chan,Jet Li Andy Lau Takeshi Kaneshiro Xu Jinglei Wei Zongwan,assassin general dynasty brother blood brother,"A heroic tale of three blood brothers and their struggle in the midst of war and political upheaval. It is based on ""The Assassination of Ma,"" a Qing Dynasty (1644-1911) story about the killing of general Ma Xinyi.",,6.3,83,126.0,6.884467,14392,Action Drama History,PeterChan,zh
Nomad: The Warrior,2005,Action History War,Sergei Bodrov Jr.,Kuno Becker Jay Hernandez Jason Scott Lee Doskhan Zholzhaksynov Ayanat Ksenbai,,"The Nomad is a historical epic set in 18th-century Kazakhstan. The film is a fictionalised account of the youth and coming-of-age of Ablai Khan, as he grows and fights to defend the fortress at Hazrat-e Turkestan from Dzungar invaders.",Courage know no limit,4.3,17,112.0,8.212017999999999,19495,Action History War,SergeiBodrovJr.,en
Snowpiercer,2013,Action Science Fiction Drama,Bong Joon-ho,Chris Evans Song Kang-ho Ed Harris John Hurt Tilda Swinton,father son relationship child labour brothel winter allegory,"In a future where a failed global-warming experiment kills off most life on the planet, a class system evolves aboard the Snowpiercer, a train that travels around the globe via a perpetual-motion engine.","AD 2031, the passengers in the train are the only survivors on Earth.",6.7,2854,126.0,64.238688,110415,Action ScienceFiction Drama,BongJoon-ho,ko
A Monster in Paris,2011,Adventure Animation Comedy Family Fantasy,Bibo Bergeron,Vanessa Paradis Mathieu Chedid Gad Elmaleh Fran\u00e7ois Cluzet Ludivine Sagnier,monster cgi 3d paris france,"Paris,1910. Emile, a shy movie projectionist, and Raoul, a colorful inventor, find themselves embarked on the hunt for a monster terrorizing citizens. They join forces with Lucille, the big-hearted star of the Bird of Paradise cabaret, an eccentric scientist and his irascible monkey to save the monster, who turns out to be an oversized but harmless flea, from the city's ruthlessly ambitious police chief.",,6.5,313,90.0,17.375562,77459,Adventure Animation Comedy Family Fantasy,BiboBergeron,fr
The Last Shot,2004,Action Comedy,Jeff Nathanson,Matthew Broderick Alec Baldwin Toni Collette Calista Flockhart Ray Liotta,,A movie director-screenwriter finds a man to finance his latest project but soon discovers that the producer is actually an undercover FBI agent working on a mob sting operation.,,5.9,15,90.0,6.7698,26486,Action Comedy,JeffNathanson,en
The Crow,1994,Fantasy Action Thriller,Alex Proyas,Brandon Lee Rochelle Davis Ernie Hudson Michael Wincott Bai Ling,halloween arson detroit,"Exactly one year after young rock guitarist Eric Draven and his fiancée are brutally killed by a ruthless gang of criminals, Draven -- watched over by a hypnotic crow -- returns from the grave to exact revenge.",Real love is forever.,7.3,953,102.0,44.690107,9495,Fantasy Action Thriller,AlexProyas,en
Baahubali: The Beginning,2015,Action Adventure War History,S.S. Rajamouli,Prabhas Rana Daggubati Tamanna Bhatia Anushka Shetty Ramya Krishnan,kingdom war bollywood medieval india ancient india,"The young Shivudu is left as a foundling in a small village by his mother. By the time he’s grown up, it has become apparent that he possesses exceptional gifts. He meets the beautiful warrior/princess Avanthika and learns that her queen has been held captive for the last 25 years. Shividu sets off to rescue her, discovering his own origins in the process.",,7.5,135,159.0,16.254032000000002,256040,Action Adventure War History,S.S.Rajamouli,te
The Time Traveler's Wife,2009,Drama Romance Fantasy,Robert Schwentke,Eric Bana Rachel McAdams Michelle Nolden Arliss Howard Ron Livingston,chicago sex based on novel nudity diary,"Due to a genetic disorder, handsome librarian Henry DeTamble involuntarily zips through time, appearing at various moments in the life of his true love, the beautiful artist Clare Abshire.",,6.7,798,107.0,37.492928000000006,24420,Drama Romance Fantasy,RobertSchwentke,en
Because I Said So,2007,Comedy,Michael Lehmann,Diane Keaton Mandy Moore Gabriel Macht Tom Everett Scott Lauren Graham,mother guitar sister sister relationship profession new love,"In an effort to prevent family history from repeating itself, meddlesome mom Daphne Wilder attempts to set up her youngest daughter, Milly, with Mr. Right. Meanwhile, her other daughters try to keep their mom's good intentions under control.","She's just your normal, overprotective, overbearing, over-the-top mother.",5.8,191,102.0,18.678415,1257,Comedy,MichaelLehmann,en
Frankenweenie,2012,Animation Comedy Family,Tim Burton,Charlie Tahan Catherine O'Hara Martin Short Martin Landau Atticus Shaffer,shyness stop motion black and white retro dog,"When a car hits young Victor's pet dog Sparky, Victor decides to bring him back to life the only way he knows how. But when the bolt-necked ""monster"" wreaks havoc and terror in the hearts of Victor's neighbors, he has to convince them that Sparky's still the good, loyal friend he was.",The electrifying dog is back from beyond the grave,6.6,932,87.0,27.908783000000003,62214,Animation Comedy Family,TimBurton,en
Serenity,2005,Science Fiction Action Adventure Thriller,Joss Whedon,Nathan Fillion Gina Torres Alan Tudyk Morena Baccarin Adam Baldwin,martial arts telepathy dystopia spaceship fugitive,"When the renegade crew of Serenity agrees to hide a fugitive on their ship, they find themselves in an action-packed battle between the relentless military might of a totalitarian regime who will destroy anything – or anyone – to get the girl back and the bloodthirsty creatures who roam the uncharted areas of space. But... the greatest danger of all may be on their ship.",Can't stop the signal.,7.4,1264,119.0,45.388937,16320,ScienceFiction Action Adventure Thriller,JossWhedon,en
Against the Ropes,2004,Romance Drama,Charles S. Dutton,Meg Ryan Tony Shalhoub Joe Cortese Kerry Washington Omar Epps,biography sport,"A fictional story inspired by North America's most famous female boxing promoter, Jackie Kallen. Her struggle to survive and succeed in a male dominated sport.",,4.5,32,106.0,2.817364,8842,Romance Drama,CharlesS.Dutton,en
Superman III,1983,Comedy Action Adventure Fantasy Science Fiction,Richard Lester,Christopher Reeve Richard Pryor Jackie Cooper Marc McClure Annette O'Toole,saving the world dc comics super computer identity crisis loss of powers,"Aiming to defeat the Man of Steel, wealthy executive Ross Webster hires bumbling but brilliant Gus Gorman to develop synthetic kryptonite, which yields some unexpected psychological effects in the third installment of the 1980s Superman franchise. Between rekindling romance with his high school sweetheart and saving himself, Superman must contend with a powerful supercomputer.",If the world's most powerful computer can control even Superman...no one on earth is safe.,5.3,490,125.0,22.164202,9531,Comedy Action Adventure Fantasy ScienceFiction,RichardLester,en
Grudge Match,2013,Comedy,Peter Segal,Robert De Niro Sylvester Stallone Alan Arkin Jon Bernthal Kevin Hart,father son relationship sport rivalry elderly elderly man,A pair of aging boxing rivals are coaxed out of retirement to fight one final bout -- 30 years after their last match.,DeNiro vs Stallone,6.0,433,113.0,21.362949,64807,Comedy,PeterSegal,en
Red Cliff,2008,Adventure Drama Action,John Woo,Chang Chen Hu Jun Tony Leung Chiu-Wai Takeshi Kaneshiro Song Jia,flaming arrow chinese history strategy carrier pigeon spear throwing,"In the early third century, the land of Wu is invaded by the warlord Cao Cao and his million soldiers. The ruler of Wu, Sun Quan, calls on the rival warlord Liu Bei for help, but their two armies are still badly outnumbered. However, the Wu strategist Zhou Yu sees that Cao Cao's army is unused to battling on the sea, which may just give them a chance if they can exploit this weakness properly.",The future will be decided.,7.1,205,150.0,14.8375,12289,Adventure Drama Action,JohnWoo,zh
Sweet Home Alabama,2002,Comedy Romance,Andy Tennant,Reese Witherspoon Josh Lucas Patrick Dempsey Candice Bergen Rhona Mitra,new york marriage proposal alabama career woman fashion designer,"New York fashion designer Melanie Carmichael suddenly finds herself engaged to the city's most eligible bachelor. But Melanie's past holds many secrets, including Jake, the redneck husband she married in high school, who refuses to divorce her. Bound and determined to end their contentious relationship once and for all, Melanie sneaks back home to Alabama to confront her past.",Sometimes What You're Looking For Is Right Where You Left It.,6.0,394,108.0,18.256028,11529,Comedy Romance,AndyTennant,en
